# FILE  FILTER  TILE  DITHER  SKY_LEVEL  FWHM  EXPTIME
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t5_d9_i.fits    i    5    9    4083.2    4.6    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t5_d10_i.fits    i    5    10    4236.8    4.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t6_d4_g.fits    g    6    4    667.5    5.1    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t6_d5_g.fits    g    6    5    652.2    5.2    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t6_d6_g.fits    g    6    6    657.1    5.4    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t7_d4_g.fits    g    7    4    711.5    6.2    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d16_i.fits    i    1    16    3549.1    6.6    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t2_d10_i.fits    i    2    10    3346.1    6.2    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t2_d11_i.fits    i    2    11    3290.8    6.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t2_d12_i.fits    i    2    12    3384.1    6.8    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t4_d13_i.fits    i    4    13    4118.2    6.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t4_d14_i.fits    i    4    14    4176.8    5.9    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t4_d15_i.fits    i    4    15    4337.1    6.8    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t5_d12_i.fits    i    5    12    4384.1    6.2    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t5_d13_i.fits    i    5    13    4235.6    6.1    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t6_d10_i.fits    i    6    10    4492.4    6.6    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t3_d13_i.fits    i    3    13    5849.9    5.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t3_d14_i.fits    i    3    14    5706.6    5.6    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t3_d15_i.fits    i    3    15    1113.6    6.8    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t6_d12_i.fits    i    6    12    5868.1    6.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t6_d15_i.fits    i    6    15    6091.3    6.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t7_d6_g.fits    g    7    6    625.7    6.5    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t7_d7_g.fits    g    7    7    614.5    6.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t7_d7_i.fits    i    7    7    5684.6    4.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t7_d8_i.fits    i    7    8    5951.8    4.6    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t7_d9_i.fits    i    7    9    6235.6    4.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t7_d10_i.fits    i    7    10    6294.1    4.6    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t7_d11_i.fits    i    7    11    7168.9    5.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t9_d6_i.fits    i    9    6    7631.1    6.5    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t5_d1_z.fits    z    5    1    12101.4    4.6    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t5_d2_z.fits    z    5    2    11717.7    4.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t5_d3_z.fits    z    5    3    12098.7    4.5    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t5_d4_z.fits    z    5    4    12435.6    4.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t5_d5_z.fits    z    5    5    12638.7    4.4    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t5_d6_z.fits    z    5    6    13096.1    4.5    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t5_d7_z.fits    z    5    7    13251.4    4.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t5_d8_z.fits    z    5    8    13767.8    4.4    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t5_d9_z.fits    z    5    9    14637.1    4.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t5_d10_z.fits    z    5    10    15770.3    4.6    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t5_d11_z.fits    z    5    11    16903.4    4.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t5_d12_z.fits    z    5    12    16874.9    4.2    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t3_d1_z.fits    z    3    1    15878.5    3.6    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t3_d2_z.fits    z    3    2    16062.0    3.8    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t3_d3_z.fits    z    3    3    16772.3    3.9    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t3_d4_z.fits    z    3    4    17324.8    4.0    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t3_d5_z.fits    z    3    5    18708.4    3.9    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t3_d6_z.fits    z    3    6    19265.6    3.9    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t3_d7_z.fits    z    3    7    20425.1    3.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t3_d8_z.fits    z    3    8    20558.0    3.8    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t3_d9_z.fits    z    3    9    19731.1    3.9    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t3_d10_z.fits    z    3    10    21801.4    3.8    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t3_d11_z.fits    z    3    11    23388.7    4.1    600.0
/Volumes/Data2/Magellanic_stream/DECam/20131115/pipeline/images/magellanic_stream_t9_d1_z.fits    z    9    1    24274.6    4.1    600.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t1_d1_z.fits    z    1    1    15325.2    4.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t1_d2_z.fits    z    1    2    14206.8    4.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t1_d3_z.fits    z    1    3    13651.5    4.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t1_d4_z.fits    z    1    4    13827.6    5.2    600.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t1_d5_z.fits    z    1    5    14003.7    4.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t1_d6_z.fits    z    1    6    13842.8    3.9    600.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t1_d7_z.fits    z    1    7    13096.9    4.0    600.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t1_d8_z.fits    z    1    8    12939.8    3.8    600.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t1_d9_z.fits    z    1    9    13364.9    3.3    600.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t1_d10_z.fits    z    1    10    13317.0    3.1    600.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t1_d11_z.fits    z    1    11    13591.4    3.4    600.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t2_d1_z.fits    z    2    1    9373.6    3.8    300.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t2_d2_z.fits    z    2    2    9370.2    3.5    300.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t2_d3_z.fits    z    2    3    8988.6    4.0    300.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t2_d4_z.fits    z    2    4    8581.6    4.2    300.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t2_d5_z.fits    z    2    5    8854.0    4.0    300.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t2_d6_z.fits    z    2    6    8586.5    3.7    300.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t2_d7_z.fits    z    2    7    8637.9    3.7    300.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t2_d8_z.fits    z    2    8    8486.8    3.4    300.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t2_d9_z.fits    z    2    9    8389.0    4.0    300.0
/Volumes/Data2/Magellanic_stream/DECam/20140809/pipeline/images/magellanic_stream_t2_d10_z.fits    z    2    10    8511.2    3.5    300.0
