#  im_file        filter  tile  dither  weight_file     zp      FWHM    MJD   EXPTIME   NCHIP
tu1845955.fits.fz    z    1    8    tu1845838.fits.fz    31.62     0.0    56516.170574    330.0    61
tu1845833.fits.fz    z    1    9    tu1845954.fits.fz    31.49     0.0    56516.174739    330.0    61
tu1845951.fits.fz    z    1    10    tu1845831.fits.fz    31.49     0.0    56516.178904    330.0    61
tu1845950.fits.fz    z    1    11    tu1845890.fits.fz    31.71     0.0    56516.183064    330.0    61
tu1845829.fits.fz    z    1    12    tu1845888.fits.fz    31.69     0.0    56516.187220    330.0    61
tu1843689.fits.fz    i    4    10    tu1843688.fits.fz    33.73     0.0    56516.192625    600.0    61
tu1844657.fits.fz    i    4    11    tu1843763.fits.fz    33.78     0.0    56516.199918    600.0    61
tu1844159.fits.fz    i    4    12    tu1844318.fits.fz    33.69     0.0    56516.207183    600.0    61
tu1844009.fits.fz    i    3    10    tu1844379.fits.fz    33.12     0.0    56516.217651    600.0    61
tu1844319.fits.fz    i    3    11    tu1844232.fits.fz    32.98     0.0    56516.224923    600.0    61
tu1844758.fits.fz    i    3    12    tu1843944.fits.fz    33.01     0.0    56516.232213    600.0    61
tu1843760.fits.fz    i    4    13    tu1844757.fits.fz    33.72     0.0    56516.240383    600.0    61
tu1844654.fits.fz    i    4    14    tu1844378.fits.fz    33.55     0.0    56516.247677    600.0    61
tu1844007.fits.fz    i    4    15    tu1843759.fits.fz    33.64     0.0    56516.254960    600.0    61
tu1844313.fits.fz    i    5    11    tu1844538.fits.fz    33.71     0.0    56516.262916    600.0    61
tu1844594.fits.fz    i    5    12    tu1844075.fits.fz    33.64     0.0    56516.270183    600.0    61
tu1844591.fits.fz    i    5    13    tu1844541.fits.fz    33.64     0.0    56516.277448    600.0    61
tu1843941.fits.fz    i    6    9    tu1844006.fits.fz    34.22     0.0    56516.285482    600.0    61
tu1844308.fits.fz    i    6    10    tu1844072.fits.fz    34.16     0.0    56516.292761    600.0    61
tu1844750.fits.fz    i    6    11    tu1844456.fits.fz    34.21     0.0    56516.300038    600.0    61
tu1844585.fits.fz    i    3    13    tu1843837.fits.fz    32.19     0.0    56516.316810    600.0    61
tu1844533.fits.fz    i    3    14    tu1844368.fits.fz    32.34     0.0    56516.324097    600.0    61
tu1844309.fits.fz    i    3    15    tu1844586.fits.fz    31.17     0.0    56516.331374    600.0    61
tu1844068.fits.fz    i    6    12    tu1844367.fits.fz    34.20     0.0    56516.334333    600.0    61
tu1843835.fits.fz    i    6    13    tu1844067.fits.fz    34.16     0.0    56516.341609    600.0    61
tu1844808.fits.fz    i    6    14    tu1844065.fits.fz    34.19     0.0    56516.348875    600.0    61
tu1843830.fits.fz    i    6    15    tu1844809.fits.fz    34.10     0.0    56516.356163    600.0    61
tu1843444.fits.fz    g    7    5    tu1843349.fits.fz    30.91     0.0    56516.364303    600.0    61
tu1843067.fits.fz    g    7    6    tu1843126.fits.fz    30.97     0.0    56516.371596    600.0    61
tu1843239.fits.fz    g    7    7    tu1842913.fits.fz    30.98     0.0    56516.378875    600.0    61
tu1844810.fits.fz    i    7    7    tu1844647.fits.fz    32.61     0.0    56516.386827    600.0    61
tu1843832.fits.fz    i    7    8    tu1844799.fits.fz    32.59     0.0    56516.394115    600.0    61
tu1844587.fits.fz    i    7    9    tu1843935.fits.fz    32.66     0.0    56516.401397    600.0    61
tu1844151.fits.fz    i    7    10    tu1844306.fits.fz    32.60     0.0    56516.408671    600.0    61
tu1844747.fits.fz    i    7    11    tu1844223.fits.fz    32.73     0.0    56516.415958    600.0    61
tu1844645.fits.fz    i    9    6    tu1844802.fits.fz    32.91     0.0    56516.423254    600.0    61
