Index,HIERARCH ESO OBS PROG ID,HIERARCH ESO OBS NAME,HIERARCH ESO INS FILT1 NAME,HIERARCH ESO DET DIT,HIERARCH ESO DET NDIT,HIERARCH ESO TPL ID,HIERARCH ESO TPL NEXP,HIERARCH ESO TPL EXPNO,JITTR_ID,NJITTER,JITTER_I,ESOGRADE,RA,DEC,FWHM,Filename
1436,098.B-0510(A),MS_DV1_V5_OB12,Ks,7.0,4,VIRCAM_img_obs_tile6,18,1,Jitter3u,3,1,A,351.377896,-53.28692,0.60792408,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00157_st.fit
1437,098.B-0510(A),MS_DV1_V5_OB12,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,A,351.531417,-53.287,0.64111896,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00160_st.fit
1438,098.B-0510(A),MS_DV1_V5_OB12,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,A,351.684292,-53.28691,0.62647108,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00163_st.fit
1439,098.B-0510(A),MS_DV1_V5_OB12,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,A,351.6853,-53.46988,0.60401136,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00166_st.fit
1440,098.B-0510(A),MS_DV1_V5_OB12,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,A,351.531446,-53.4702,0.57125814,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00169_st.fit
1441,098.B-0510(A),MS_DV1_V5_OB12,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,A,351.37725,-53.47009,0.58871646,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00172_st.fit
1442,098.B-0510(A),MS_DV2_V5_OB12,Ks,7.0,4,VIRCAM_img_obs_tile6,18,1,Jitter3u,3,1,A,358.290867,-52.43722,0.61842906,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00175_st.fit
1443,098.B-0510(A),MS_DV2_V5_OB12,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,A,358.4414,-52.4373,0.57783102,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00178_st.fit
1444,098.B-0510(A),MS_DV2_V5_OB12,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,A,358.591321,-52.43721,0.62522906,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00181_st.fit
1445,098.B-0510(A),MS_DV2_V5_OB12,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,A,358.592283,-52.62019,0.59730554,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00184_st.fit
1446,098.B-0510(A),MS_DV2_V5_OB12,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,A,358.441425,-52.6205,0.61504708,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00187_st.fit
1447,098.B-0510(A),MS_DV2_V5_OB12,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,A,358.29025,-52.6204,0.61558632,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161022_00190_st.fit
1448,098.B-0510(A),MS_DV1_V5_OB13,Ks,7.0,4,VIRCAM_img_obs_tile6,18,1,Jitter3u,3,1,C,351.377896,-53.28692,0.84960356,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161023_00049_st.fit
1449,098.B-0510(A),MS_DV1_V5_OB13,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,C,351.531417,-53.287,0.83968304,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161023_00052_st.fit
1450,098.B-0510(A),MS_DV1_V5_OB13,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,C,351.684292,-53.28691,0.8386474,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161023_00055_st.fit
1451,098.B-0510(A),MS_DV1_V5_OB13,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,C,351.6853,-53.46988,0.82276532,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161023_00058_st.fit
1452,098.B-0510(A),MS_DV1_V5_OB13,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,C,351.531446,-53.4702,0.860795,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161023_00061_st.fit
1453,098.B-0510(A),MS_DV1_V5_OB13,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,C,351.37725,-53.47009,0.84946008,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161023_00064_st.fit
1454,098.B-0510(A),MS_DV2_V5_OB13,Ks,7.0,4,VIRCAM_img_obs_tile6,18,1,Jitter3u,3,1,C,358.290867,-52.43722,1.01513188,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161023_00067_st.fit
1455,098.B-0510(A),MS_DV2_V5_OB13,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,C,358.4414,-52.4373,0.95272318,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161023_00070_st.fit
1456,098.B-0510(A),MS_DV2_V5_OB13,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,C,358.591321,-52.43721,0.86733456,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161023_00073_st.fit
1457,098.B-0510(A),MS_DV2_V5_OB13,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,C,358.592283,-52.62019,0.92371098,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161023_00076_st.fit
1458,098.B-0510(A),MS_DV2_V5_OB13,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,C,358.441425,-52.6205,0.95222712,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161023_00079_st.fit
1459,098.B-0510(A),MS_DV2_V5_OB13,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,C,358.29025,-52.6204,0.92608214,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161023_00082_st.fit
