#  im_file        filter  tile  dither  sky_level   FWHM
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d6_i.fits    i    3    6    4012.0    4.8
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d1_g.fits    g    4    1    604.8    5.6
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d2_g.fits    g    4    2    603.7    6.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d3_g.fits    g    4    3    601.3    6.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d6_i.fits    i    6    6    5317.3    4.4
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d7_i.fits    i    6    7    5030.3    4.4
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d8_i.fits    i    6    8    5103.7    4.8
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t5_d1_g.fits    g    5    1    625.6    5.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t5_d2_g.fits    g    5    2    629.8    5.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t5_d3_g.fits    g    5    3    629.5    5.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d1_g.fits    g    6    1    644.9    5.0
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d2_g.fits    g    6    2    661.8    5.4
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d3_g.fits    g    6    3    657.1    5.1
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d4_i.fits    i    7    4    5643.6    4.6
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d5_i.fits    i    7    5    5620.1    4.5
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d6_i.fits    i    7    6    5748.9    4.0
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d1_g.fits    g    7    1    658.2    4.8
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d2_g.fits    g    7    2    667.7    5.1
