#  im_file        filter  tile  dither  weight_file     zp      FWHM    MJD   EXPTIME   NCHIP
c4d_140911_021829_ooi_z_v1.fits.fz    z    2    11    c4d_140911_021829_oow_z_v1.fits.fz    30.80     0.0    56911.090972    400.0    60
c4d_140911_022539_ooi_z_v1.fits.fz    z    2    12    c4d_140911_022539_oow_z_v1.fits.fz    30.93     0.0    56911.095931    400.0    60
c4d_140911_023207_ooi_i_v1.fits.fz    i    2    3    c4d_140911_023207_oow_i_v1.fits.fz    30.54     0.0    56911.101588    300.0    60
c4d_140911_023735_ooi_i_v1.fits.fz    i    2    4    c4d_140911_023735_oow_i_v1.fits.fz    30.78     0.0    56911.105400    300.0    60
c4d_140911_024300_ooi_i_v1.fits.fz    i    2    5    c4d_140911_024300_oow_i_v1.fits.fz    30.44     0.0    56911.109191    300.0    60
c4d_140911_024829_ooi_i_v1.fits.fz    i    2    6    c4d_140911_024829_oow_i_v1.fits.fz    30.39     0.0    56911.112973    300.0    60
c4d_140911_032425_ooi_i_v1.fits.fz    i    3    1    c4d_140911_032425_oow_i_v1.fits.fz    31.68     0.0    56911.137905    300.0    60
c4d_140911_032953_ooi_i_v1.fits.fz    i    3    2    c4d_140911_032953_oow_i_v1.fits.fz    31.59     0.0    56911.141707    300.0    60
c4d_140911_033520_ooi_i_v1.fits.fz    i    3    3    c4d_140911_033520_oow_i_v1.fits.fz    31.39     0.0    56911.145509    300.0    60
c4d_140911_034050_ooi_i_v1.fits.fz    i    3    4    c4d_140911_034050_oow_i_v1.fits.fz    31.50     0.0    56911.149302    300.0    60
c4d_140911_034856_ooi_z_v1.fits.fz    z    3    1    c4d_140911_034856_oow_z_v1.fits.fz    31.05     0.0    56911.153789    400.0    60
c4d_140911_035604_ooi_z_v1.fits.fz    z    3    2    c4d_140911_035604_oow_z_v1.fits.fz    31.76     0.0    56911.158739    400.0    60
c4d_140911_040313_ooi_z_v1.fits.fz    z    3    3    c4d_140911_040313_oow_z_v1.fits.fz    31.79     0.0    56911.163692    400.0    60
c4d_140911_041019_ooi_z_v1.fits.fz    z    3    4    c4d_140911_041019_oow_z_v1.fits.fz    31.81     0.0    56911.168650    400.0    60
c4d_140911_041730_ooi_z_v1.fits.fz    z    3    5    c4d_140911_041730_oow_z_v1.fits.fz    31.90     0.0    56911.173627    400.0    60
c4d_140911_042420_ooi_i_v1.fits.fz    i    4    1    c4d_140911_042420_oow_i_v1.fits.fz    32.66     0.0    56911.179537    300.0    60
c4d_140911_042947_ooi_i_v1.fits.fz    i    4    2    c4d_140911_042947_oow_i_v1.fits.fz    32.63     0.0    56911.183330    300.0    60
c4d_140911_043515_ooi_i_v1.fits.fz    i    4    3    c4d_140911_043515_oow_i_v1.fits.fz    32.62     0.0    56911.187127    300.0    60
c4d_140911_044046_ooi_i_v1.fits.fz    i    4    4    c4d_140911_044046_oow_i_v1.fits.fz    32.60     0.0    56911.190921    300.0    60
